review_index,old_relative_path,old_sha256,old_format,archive_decision,archive_folder,sequence_in_destination,new_filename,new_relative_path,action,destination_exists,fb_selected,photo_selected,reason
1,IMG_3871.JPG,065d7b521faf28495197dbe816e0752b62d211fd31fd72cc8f8f747a4c721f31,JPEG,保留,01_260712_D1_抵達_博多,1,260712_D1_IMG3871_福岡機場_抵達同行_0001.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3871_福岡機場_抵達同行_0001.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
2,IMG_3872.JPG,a3e3ea4fa2ac8e0b44aa6f701927ce18390e8a6732d925e170c00f57cacb9ee2,JPEG,保留,01_260712_D1_抵達_博多,2,260712_D1_IMG3872_福岡機場_抵達同行_0002.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3872_福岡機場_抵達同行_0002.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
3,IMG_3873.JPG,0e2a0e47ddb7ebcc25a79ae0f7ddc0a3e3d06e12932769b625728f5a61d3a122,JPEG,保留,01_260712_D1_抵達_博多,3,260712_D1_IMG3873_福岡機場_抵達同行_0003.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3873_福岡機場_抵達同行_0003.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
4,IMG_3874.JPG,2e9a1ef6665277735f734dd70f01b11ed4a375cad72aa206b883f612238d8701,JPEG,保留,01_260712_D1_抵達_博多,4,260712_D1_IMG3874_福岡機場_抵達同行_0004.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3874_福岡機場_抵達同行_0004.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
5,IMG_3875.JPG,c921d0fd0e32581ee258b4c17fcd4634b0e9191ad8d435166a798579ce31b5d9,JPEG,保留,01_260712_D1_抵達_博多,5,260712_D1_IMG3875_福岡機場_抵達同行_0005.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3875_福岡機場_抵達同行_0005.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
6,IMG_3876.JPG,2de1bf75b6c9b03e899b056dace884ede35243e8dc2ae4af1eb9927ccfb3a355,JPEG,保留,01_260712_D1_抵達_博多,6,260712_D1_IMG3876_福岡機場_抵達同行_0006.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3876_福岡機場_抵達同行_0006.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
7,IMG_3877.JPG,610f7ef4644b77de1cb9fe8c13a5917d33767bac3d624a10e6595c88964a1aa7,JPEG,保留,01_260712_D1_抵達_博多,7,260712_D1_IMG3877_福岡機場_抵達同行_0007.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3877_福岡機場_抵達同行_0007.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
8,IMG_3878.JPG,ecf9f96c8d5f2122d0746e0772c31c21ea251b06447a2e209bd897ace8bd8864,JPEG,保留,01_260712_D1_抵達_博多,8,260712_D1_IMG3878_福岡機場_抵達同行_0008.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3878_福岡機場_抵達同行_0008.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
9,IMG_3881.JPG,e38159da0351efa1e61afd439e8674eb23e5e671452d75c70d1a98cd1c61250a,JPEG,保留,01_260712_D1_抵達_博多,9,260712_D1_IMG3881_福岡機場_抵達同行_0009.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3881_福岡機場_抵達同行_0009.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
10,IMG_3882.JPG,8fafe4f2b667bbc27c832f5513abcd716fbdf39df9c4d67d5fc86f4d49d598b4,JPEG,保留,01_260712_D1_抵達_博多,10,260712_D1_IMG3882_福岡機場_抵達同行_0010.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3882_福岡機場_抵達同行_0010.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
