review_index,relative_path,format,size_bytes,width,height,captured_at,capture_time_source,sha256,trip_date,trip_day,itinerary,scene,archive_folder,classification_status,classification_confidence,classification_evidence,archive_decision,fb_selected,photo_selected,photo_score,photo_reason,review_note
1,IMG_3871.JPG,JPEG,5014983,5712,4284,,unavailable,065d7b521faf28495197dbe816e0752b62d211fd31fd72cc8f8f747a4c721f31,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
2,IMG_3872.JPG,JPEG,3297866,5712,4284,,unavailable,a3e3ea4fa2ac8e0b44aa6f701927ce18390e8a6732d925e170c00f57cacb9ee2,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
3,IMG_3873.JPG,JPEG,3191415,5712,4284,,unavailable,0e2a0e47ddb7ebcc25a79ae0f7ddc0a3e3d06e12932769b625728f5a61d3a122,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
4,IMG_3874.JPG,JPEG,3798635,5712,4284,,unavailable,2e9a1ef6665277735f734dd70f01b11ed4a375cad72aa206b883f612238d8701,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
5,IMG_3875.JPG,JPEG,4744318,5712,4284,,unavailable,c921d0fd0e32581ee258b4c17fcd4634b0e9191ad8d435166a798579ce31b5d9,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
6,IMG_3876.JPG,JPEG,5058387,5712,4284,,unavailable,2de1bf75b6c9b03e899b056dace884ede35243e8dc2ae4af1eb9927ccfb3a355,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
7,IMG_3877.JPG,JPEG,4914796,5712,4284,,unavailable,610f7ef4644b77de1cb9fe8c13a5917d33767bac3d624a10e6595c88964a1aa7,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
8,IMG_3878.JPG,JPEG,3386842,5712,4284,,unavailable,ecf9f96c8d5f2122d0746e0772c31c21ea251b06447a2e209bd897ace8bd8864,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
9,IMG_3881.JPG,JPEG,4238466,5712,4284,,unavailable,e38159da0351efa1e61afd439e8674eb23e5e671452d75c70d1a98cd1c61250a,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
10,IMG_3882.JPG,JPEG,2178665,3672,4896,,unavailable,8fafe4f2b667bbc27c832f5513abcd716fbdf39df9c4d67d5fc86f4d49d598b4,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
